"Course Code","CO No.","Course outcomes","Pos/PSOs","CL","KC","Classroom session"
"51511","CO1","To Design the different types of automata
 and its application.","PO1,PO2,PO3,POS1","U","C","3"
"51511","CO2","To understand the regular language/expression of finite automata and different properties of regular language.","PO1,PO2,PO3,POS1","U","C","10"
"51511","CO3","To understand the CFG, its application
 and its properties.","PO1,PO2,PO3,POS1","U","C","11"
"51511","CO4","To Design the PDA corresponding to 
the following CFG.","PO3,PO5,POS1","C","FDP","6"
"51511","CO5","To Design the Turing machine for different 
types of language.","PO3,PO5,POS1","C","FDP","7"
"51511","CO6","To analyse different types of problems 
such as P & NP and NP-complete problem.","PO2,POS1","AP","CS","5"
"","","","","","","42"
"","","","","","",""
"","","","","","",""
"","",""," ","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"
","
"
"PO/PSO","COs","Total Session","%Session","Mapping Strength"
"PO1","CO1,CO2,CO3","24","58","3"
"PO2","CO1,CO2,CO3,CO6","29","70","3"
"PO3","CO1,CO2,CO3,CO4,CO5","37","89","3"
"PO5","CO4,CO5","13","31","2"
"POS1","CO1,CO2,CO3,CO4,CO5,CO6","42","100","3"
"
","
"
"CO/PO/PSO","PO1","PO2","PO3","PO4","PO5","PO6","PO7","PO8","PO9","PO10","PO11","PO12","PSO1","PSO2","PSO3"
"CO1","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"CO2","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"CO3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"CO4","-","-","3","-","2","-","-","-","-","-","-","-","-","-","-"
"CO5","-","-","3","-","2","-","-","-","-","-","-","-","-","-","-"
"CO6","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AVG","3.0","3.0","3.0","-","2.0","-","-","-","-","-","-","-","-","-","-"
"
","
"
"CO","Q. No.","Max Marks","Average Marks","% Marks","Assessment Average","Attendance Average","% Assessment & Attendance","University Average","Direct Assessment","Indirect Assessment","Total Attainment"
"CO1","1","4","3.72","74.4","4.69","5.0","96.9","41.38","53.54","80","56.19"
"CO2","4","4","3.55","71.0","4.69","5.0","96.9","41.38","52.86","80","55.57"
"CO3","5","4","3.69","73.8","4.69","5.0","96.9","41.38","53.42","80","56.08"
"CO4","2","4","3.69","73.8","4.69","5.0","96.9","41.38","53.42","80","56.08"
"CO5","3","4","3.34","66.8","4.69","5.0","96.9","41.38","52.02","80","54.82"
"CO6","-","-","-","-","4.69","5.0","96.9","41.38","58.04","80","60.24"
"
","
"
"PO/PSO","COs","Total Session","% Session","Mapping Strength","Average of Relevant COs","PO/PSO Attainment"
"PO1","CO1,CO2,CO3","24","58","3","55.95","55.95"
"PO2","CO1,CO2,CO3,CO6","29","70","3","57.02","57.02"
"PO3","CO1,CO2,CO3,CO4,CO5","37","89","3","55.75","55.75"
"PO5","CO4,CO5","13","31","2","55.45","36.97"
"POS1","CO1,CO2,CO3,CO4,CO5,CO6","42","100","3","56.5","56.5"
"
","
"
