Course Code,CO No.,Course outcomes,Pos/PSOs,CL,KC,Classroom session,,,,,,,,,,,,,,,,
61603,CO1,To understand the basic concepts and functions of Operating Systems,"PO1,PSO1",U,C,4,,,,,,,,,,,,,,,,
61603,CO2,To analyze the various process scheduling algorithms,"PO1,PO2,PSO1",An,"C, P",10,,,,,,,,,,,,,,,,
61603,CO3,To create better communication mechanism using Synchronization and Inter Process Communication Mechanism,"PO1,PO2,PO3,PO5,PSO1",C,P,5,,,,,,,,,,,,,,,,
61603,CO4,To explain deadlocks management,"PO1,PO2,PSO1",U,C,5,,,,,,,,,,,,,,,,
61603,CO5,To evaluate various memory management schemes,"PO1,PO2,PO4,PSO1",E,"C, P",8,,,,,,,,,,,,,,,,
61603,CO6,To understand I/O management and file systems,"PO1,PO2,PSO1",U,P,6,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,
PO/PSO,COs,Total Session,%Session,Mapping Strength,,,,,,,,,,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,,,,,,,,,,,,,,,,,,
PO2,"CO2,CO3,CO4,CO5,CO6",34,90,3,,,,,,,,,,,,,,,,,,
PO3,CO3,5,14,1,,,,,,,,,,,,,,,,,,
PO4,CO5,8,22,1,,,,,,,,,,,,,,,,,,
PO5,CO3,5,14,1,,,,,,,,,,,,,,,,,,
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,,,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,
CO/PO/PSO,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3,,,,,,,
CO1,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
CO2,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
CO3,3,3,1,-,1,-,-,-,-,-,-,-,3,-,-,,,,,,,
CO4,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
CO5,3,3,-,1,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
CO6,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
AVG,3,3,1,1,1,-,-,-,-,-,-,-,3,-,-,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,
CO,Q. No.,Max Marks,Average Marks,% Marks,Assessment Average,Attendance Average,% Assessment & Attendance,University Average,Direct Assessment,Indirect Assessment,Total Attainment,,,,,,,,,,,
CO1,1,4,3.39,67.8,4.56,4.5,90.6,37.42,48.81,84,52.33,,,,,,,,,,,
CO2,2,4,3.25,65,4.56,4.5,90.6,37.42,48.25,84,51.83,,,,,,,,,,,
CO3,3,4,3.14,62.8,4.56,4.5,90.6,37.42,47.81,84,51.43,,,,,,,,,,,
CO4,4,4,3.42,68.4,4.56,4.5,90.6,37.42,48.93,84,52.44,,,,,,,,,,,
CO5,5,4,2.97,59.4,4.56,4.5,90.6,37.42,47.13,84,50.82,,,,,,,,,,,
CO6,-,-,-,-,4.56,4.5,90.6,37.42,53.37,84,56.43,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,
PO/PSO,COs,Total Session,% Session,Mapping Strength,Average of Relevant COs,PO/PSO Attainment,,,,,,,,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,52.55,52.55,,,,,,,,,,,,,,,,
PO2,"CO2,CO3,CO4,CO5,CO6",34,90,3,52.59,52.59,,,,,,,,,,,,,,,,
PO3,CO3,5,14,1,51.43,17.14,,,,,,,,,,,,,,,,
PO4,CO5,8,22,1,50.82,16.94,,,,,,,,,,,,,,,,
PO5,CO3,5,14,1,51.43,17.14,,,,,,,,,,,,,,,,
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,52.55,52.55,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,52.33,51.83,51.43,52.44,50.82,56.43,52.55,52.59,17.14,16.94,17.14,-,-,-,-,-,-,-,52.55,-,-
